"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-04-19 02:35:00,744
2023-04-19 02:35:05,684
2023-04-19 02:35:10,647
2023-04-19 02:35:15,715
2023-04-19 02:35:20,607
2023-04-19 02:35:25,721
2023-04-19 02:35:30,681
2023-04-19 02:35:35,602
2023-04-19 02:35:40,682
2023-04-19 02:35:45,660
2023-04-19 02:35:50,741
2023-04-19 02:35:55,713
2023-04-19 02:36:00,685
2023-04-19 02:36:05,723
2023-04-19 02:36:10,773
2023-04-19 02:36:15,595
2023-04-19 02:36:20,718
2023-04-19 02:36:25,695
2023-04-19 02:36:30,667
2023-04-19 02:36:35,726
2023-04-19 02:36:40,783
2023-04-19 02:36:45,638
2023-04-19 02:36:50,670
2023-04-19 02:36:55,623
2023-04-19 02:37:00,704
2023-04-19 02:37:05,757
2023-04-19 02:37:10,741
2023-04-19 02:37:15,716
2023-04-19 02:37:20,670
2023-04-19 02:37:25,684
2023-04-19 02:37:30,740
2023-04-19 02:37:35,578
2023-04-19 02:37:40,699
2023-04-19 02:37:45,754
2023-04-19 02:37:50,631
2023-04-19 02:37:55,741
2023-04-19 02:38:00,651
2023-04-19 02:38:05,728
2023-04-19 02:38:10,711
2023-04-19 02:38:15,779
2023-04-19 02:38:20,520
2023-04-19 02:38:25,669
2023-04-19 02:38:30,732
2023-04-19 02:38:35,733
2023-04-19 02:38:40,670
2023-04-19 02:38:45,568
2023-04-19 02:38:50,667
2023-04-19 02:38:55,604
2023-04-19 02:39:00,715
2023-04-19 02:39:05,759
2023-04-19 02:39:10,642
2023-04-19 02:39:15,717
2023-04-19 02:39:20,771
2023-04-19 02:39:25,750
2023-04-19 02:39:30,724
2023-04-19 02:39:35,635
2023-04-19 02:39:40,704
2023-04-19 02:39:45,627
2023-04-19 02:39:50,755
2023-04-19 02:39:55,704
2023-04-19 02:40:00,607
2023-04-19 02:40:05,723
2023-04-19 02:40:10,738
2023-04-19 02:40:15,722
2023-04-19 02:40:20,734
2023-04-19 02:40:25,698
2023-04-19 02:40:30,725
2023-04-19 02:40:35,720
2023-04-19 02:40:40,719
2023-04-19 02:40:45,783
2023-04-19 02:40:50,522
2023-04-19 02:40:55,702
2023-04-19 02:41:00,708
2023-04-19 02:41:05,774
2023-04-19 02:41:10,702
2023-04-19 02:41:15,639
2023-04-19 02:41:20,713
2023-04-19 02:41:25,538
2023-04-19 02:41:30,719
2023-04-19 02:41:35,732
2023-04-19 02:41:40,666
2023-04-19 02:41:45,651
2023-04-19 02:41:50,725
2023-04-19 02:41:55,729
2023-04-19 02:42:00,660
2023-04-19 02:42:05,719
2023-04-19 02:42:10,704
2023-04-19 02:42:15,724
2023-04-19 02:42:20,583
2023-04-19 02:42:25,723
2023-04-19 02:42:30,645
2023-04-19 02:42:35,656
2023-04-19 02:42:40,629
2023-04-19 02:42:45,734
2023-04-19 02:42:50,756
