"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-07-06 20:01:00,710
2023-07-06 20:01:05,738
2023-07-06 20:01:10,755
2023-07-06 20:01:15,778
2023-07-06 20:01:20,798
2023-07-06 20:01:25,818
2023-07-06 20:01:30,838
2023-07-06 20:01:35,863
2023-07-06 20:01:40,884
2023-07-06 20:01:45,905
2023-07-06 20:01:50,807
2023-07-06 20:01:55,537
2023-07-06 20:02:00,559
2023-07-06 20:02:05,584
2023-07-06 20:02:10,603
2023-07-06 20:02:15,624
2023-07-06 20:02:20,644
2023-07-06 20:02:25,663
2023-07-06 20:02:30,682
2023-07-06 20:02:35,704
2023-07-06 20:02:40,728
2023-07-06 20:02:45,745
2023-07-06 20:02:50,649
2023-07-06 20:02:55,672
2023-07-06 20:03:00,692
2023-07-06 20:03:05,716
2023-07-06 20:03:10,738
2023-07-06 20:03:15,759
2023-07-06 20:03:20,784
2023-07-06 20:03:25,802
2023-07-06 20:03:30,822
2023-07-06 20:03:35,843
2023-07-06 20:03:40,867
2023-07-06 20:03:45,649
2023-07-06 20:03:50,669
2023-07-06 20:03:55,690
2023-07-06 20:04:00,420
2023-07-06 20:04:05,445
2023-07-06 20:04:10,464
2023-07-06 20:04:15,487
2023-07-06 20:04:20,508
2023-07-06 20:04:25,527
2023-07-06 20:04:30,549
2023-07-06 20:04:35,572
2023-07-06 20:04:40,477
2023-07-06 20:04:45,500
2023-07-06 20:04:50,521
2023-07-06 20:04:55,543
2023-07-06 20:05:00,562
2023-07-06 20:05:05,584
2023-07-06 20:05:10,606
2023-07-06 20:05:15,627
2023-07-06 20:05:20,648
2023-07-06 20:05:25,667
2023-07-06 20:05:30,690
2023-07-06 20:05:35,481
2023-07-06 20:05:40,503
2023-07-06 20:05:45,523
2023-07-06 20:05:50,433
2023-07-06 20:05:55,455
2023-07-06 20:06:00,479
2023-07-06 20:06:05,502
2023-07-06 20:06:10,524
2023-07-06 20:06:15,544
2023-07-06 20:06:20,565
2023-07-06 20:06:25,585
2023-07-06 20:06:30,486
2023-07-06 20:06:35,513
2023-07-06 20:06:40,533
2023-07-06 20:06:45,555
2023-07-06 20:06:50,575
2023-07-06 20:06:55,597
2023-07-06 20:07:00,618
2023-07-06 20:07:05,639
2023-07-06 20:07:10,663
2023-07-06 20:07:15,684
2023-07-06 20:07:20,590
2023-07-06 20:07:25,493
2023-07-06 20:07:30,514
2023-07-06 20:07:35,540
2023-07-06 20:07:40,438
2023-07-06 20:07:45,463
2023-07-06 20:07:50,484
2023-07-06 20:07:55,504
2023-07-06 20:08:00,532
2023-07-06 20:08:05,556
2023-07-06 20:08:10,580
2023-07-06 20:08:15,601
2023-07-06 20:08:20,502
2023-07-06 20:08:25,525
2023-07-06 20:08:30,546
2023-07-06 20:08:35,573
2023-07-06 20:08:40,595
2023-07-06 20:08:45,618
2023-07-06 20:08:50,639
2023-07-06 20:08:55,661
2023-07-06 20:09:00,683
2023-07-06 20:09:05,584
2023-07-06 20:09:10,491
2023-07-06 20:09:15,512
2023-07-06 20:09:20,535
2023-07-06 20:09:25,560
2023-07-06 20:09:30,583
2023-07-06 20:09:35,489
2023-07-06 20:09:40,513
2023-07-06 20:09:45,536
2023-07-06 20:09:50,558
2023-07-06 20:09:55,582
2023-07-06 20:10:00,477
2023-07-06 20:10:05,500
2023-07-06 20:10:10,524
2023-07-06 20:10:15,545
2023-07-06 20:10:20,576
2023-07-06 20:10:25,598
2023-07-06 20:10:30,622
2023-07-06 20:10:35,645
2023-07-06 20:10:40,671
2023-07-06 20:10:45,573
2023-07-06 20:10:50,480
2023-07-06 20:10:55,502
2023-07-06 20:11:00,529
2023-07-06 20:11:05,557
2023-07-06 20:11:10,584
2023-07-06 20:11:15,608
2023-07-06 20:11:20,631
2023-07-06 20:11:25,537
2023-07-06 20:11:30,443
2023-07-06 20:11:35,473
2023-07-06 20:11:40,497
2023-07-06 20:11:45,520
2023-07-06 20:11:50,542
2023-07-06 20:11:55,569
2023-07-06 20:12:00,594
2023-07-06 20:12:05,620
2023-07-06 20:12:10,645
2023-07-06 20:12:15,552
2023-07-06 20:12:20,576
2023-07-06 20:12:25,599
2023-07-06 20:12:30,623
2023-07-06 20:12:35,536
2023-07-06 20:12:40,560
2023-07-06 20:12:45,580
2023-07-06 20:12:50,603
2023-07-06 20:12:55,622
2023-07-06 20:13:00,530
2023-07-06 20:13:05,554
2023-07-06 20:13:10,576
2023-07-06 20:13:15,485
2023-07-06 20:13:20,510
2023-07-06 20:13:25,529
2023-07-06 20:13:30,551
2023-07-06 20:13:35,575
2023-07-06 20:13:40,599
2023-07-06 20:13:45,620
2023-07-06 20:13:50,518
2023-07-06 20:13:55,541
2023-07-06 20:14:00,563
2023-07-06 20:14:05,588
2023-07-06 20:14:10,612
2023-07-06 20:14:15,632
2023-07-06 20:14:20,542
2023-07-06 20:14:25,563
2023-07-06 20:14:30,584
2023-07-06 20:14:35,608
2023-07-06 20:14:40,502
2023-07-06 20:14:45,522
2023-07-06 20:14:50,546
2023-07-06 20:14:55,570
2023-07-06 20:15:00,591
2023-07-06 20:15:05,499
2023-07-06 20:15:10,524
2023-07-06 20:15:15,546
2023-07-06 20:15:20,565
2023-07-06 20:15:25,587
2023-07-06 20:15:30,609
2023-07-06 20:15:35,504
2023-07-06 20:15:40,528
2023-07-06 20:15:45,550
2023-07-06 20:15:50,572
2023-07-06 20:15:55,592
2023-07-06 20:16:00,616
2023-07-06 20:16:05,524
2023-07-06 20:16:10,545
2023-07-06 20:16:15,567
2023-07-06 20:16:20,591
2023-07-06 20:16:25,494
2023-07-06 20:16:30,519
2023-07-06 20:16:35,547
2023-07-06 20:16:40,568
2023-07-06 20:16:45,592
2023-07-06 20:16:50,615
2023-07-06 20:16:55,640
2023-07-06 20:17:00,545

