"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-05-01 18:55:20,731
2023-05-01 18:55:25,851
2023-05-01 18:55:30,858
2023-05-01 18:55:35,864
2023-05-01 18:55:40,871
2023-05-01 18:55:45,876
2023-05-01 18:55:50,883
2023-05-01 18:55:55,460
2023-05-01 18:56:00,467

