"Time","Value"
2023-04-19 03:34:00,1.10
2023-04-19 03:34:10,1.10
2023-04-19 03:34:20,1.11
2023-04-19 03:34:30,1.11
2023-04-19 03:34:40,1.11
2023-04-19 03:34:50,1.11
2023-04-19 03:35:00,1.12
2023-04-19 03:35:10,1.12
2023-04-19 03:35:20,1.12
2023-04-19 03:35:30,1.12
2023-04-19 03:35:40,1.13
2023-04-19 03:35:50,1.13
2023-04-19 03:36:00,1.13
2023-04-19 03:36:10,1.13
2023-04-19 03:36:20,1.14
2023-04-19 03:36:30,1.14
2023-04-19 03:36:40,1.14
2023-04-19 03:36:50,1.14
2023-04-19 03:37:00,1.15
2023-04-19 03:37:10,1.15
2023-04-19 03:37:20,1.15
2023-04-19 03:37:30,1.15
2023-04-19 03:37:40,1.16
2023-04-19 03:37:50,1.16
2023-04-19 03:38:00,1.16
2023-04-19 03:38:10,1.16
2023-04-19 03:38:20,1.17
2023-04-19 03:38:30,1.17
2023-04-19 03:38:40,1.17
2023-04-19 03:38:50,1.17
2023-04-19 03:39:00,1.18
2023-04-19 03:39:10,1.18
2023-04-19 03:39:20,1.18
2023-04-19 03:39:30,1.18
2023-04-19 03:39:40,1.19
2023-04-19 03:39:50,1.19
2023-04-19 03:40:00,1.19
2023-04-19 03:40:10,1.19
2023-04-19 03:40:20,1.20
2023-04-19 03:40:30,1.20
2023-04-19 03:40:40,1.20
2023-04-19 03:40:50,1.20
2023-04-19 03:41:00,1.21
2023-04-19 03:41:10,1.21
2023-04-19 03:41:20,1.21
2023-04-19 03:41:30,1.21
2023-04-19 03:41:40,1.22
2023-04-19 03:41:50,1.22
2023-04-19 03:42:00,1.22
2023-04-19 03:42:10,1.22
2023-04-19 03:42:20,1.23
2023-04-19 03:42:30,1.23
2023-04-19 03:42:40,1.23
2023-04-19 03:42:50,1.23
2023-04-19 03:43:00,1.23
2023-04-19 03:43:10,1.24
2023-04-19 03:43:20,1.24
2023-04-19 03:43:30,1.24
2023-04-19 03:43:40,1.24
2023-04-19 03:43:50,1.25
2023-04-19 03:44:00,1.25
2023-04-19 03:44:10,1.25
2023-04-19 03:44:20,1.25
2023-04-19 03:44:30,1.26
2023-04-19 03:44:40,1.26
2023-04-19 03:44:50,1.26
2023-04-19 03:45:00,1.26
2023-04-19 03:45:10,1.27
2023-04-19 03:45:20,1.27
2023-04-19 03:45:30,1.27
2023-04-19 03:45:40,1.27
2023-04-19 03:45:50,1.28
2023-04-19 03:46:00,1.28
2023-04-19 03:46:10,1.28
2023-04-19 03:46:20,1.28
2023-04-19 03:46:30,1.29
2023-04-19 03:46:40,1.29
2023-04-19 03:46:50,1.29
2023-04-19 03:47:00,1.29
2023-04-19 03:47:10,1.30
2023-04-19 03:47:20,1.30
2023-04-19 03:47:30,1.30
2023-04-19 03:47:40,1.30
2023-04-19 03:47:50,1.31
2023-04-19 03:48:00,1.31
2023-04-19 03:48:10,1.31
2023-04-19 03:48:20,1.31
2023-04-19 03:48:30,1.32
2023-04-19 03:48:40,1.32
2023-04-19 03:48:50,1.32
2023-04-19 03:49:00,1.32
2023-04-19 03:49:10,1.33
2023-04-19 03:49:20,1.33
2023-04-19 03:49:30,1.33
2023-04-19 03:49:40,1.33
2023-04-19 03:49:50,1.34
2023-04-19 03:50:00,1.34
2023-04-19 03:50:10,1.34
2023-04-19 03:50:20,1.34
2023-04-19 03:50:30,1.34
2023-04-19 03:50:40,1.34
2023-04-19 03:50:50,1.34
2023-04-19 03:51:00,1.35
2023-04-19 03:51:10,1.35
2023-04-19 03:51:20,1.35
2023-04-19 03:51:30,1.35
2023-04-19 03:51:40,1.35
2023-04-19 03:51:50,1.35
2023-04-19 03:52:00,1.35
2023-04-19 03:52:10,1.36
2023-04-19 03:52:20,1.36
2023-04-19 03:52:30,1.36
2023-04-19 03:52:40,1.36
2023-04-19 03:52:50,1.36
2023-04-19 03:53:00,1.36
2023-04-19 03:53:10,1.36
2023-04-19 03:53:20,1.37
2023-04-19 03:53:30,1.37
2023-04-19 03:53:40,1.37
2023-04-19 03:53:50,1.37
2023-04-19 03:54:00,1.37
2023-04-19 03:54:10,1.37
2023-04-19 03:54:20,1.37
2023-04-19 03:54:30,1.38
2023-04-19 03:54:40,1.38
2023-04-19 03:54:50,1.38
2023-04-19 03:55:00,1.38
2023-04-19 03:55:10,1.38
2023-04-19 03:55:20,1.38
2023-04-19 03:55:30,1.38
2023-04-19 03:55:40,1.39
2023-04-19 03:55:50,1.39
2023-04-19 03:56:00,1.39
2023-04-19 03:56:10,1.39
2023-04-19 03:56:20,1.39
2023-04-19 03:56:30,1.39
2023-04-19 03:56:40,1.39
2023-04-19 03:56:50,1.40
2023-04-19 03:57:00,1.40
2023-04-19 03:57:10,1.40
2023-04-19 03:57:20,1.40
2023-04-19 03:57:30,1.40
2023-04-19 03:57:40,1.40
2023-04-19 03:57:50,1.40
2023-04-19 03:58:00,1.41
2023-04-19 03:58:10,1.41
2023-04-19 03:58:20,1.41
2023-04-19 03:58:30,1.41
2023-04-19 03:58:40,1.41
2023-04-19 03:58:50,1.41
2023-04-19 03:59:00,1.41
2023-04-19 03:59:10,1.42
2023-04-19 03:59:20,1.42
2023-04-19 03:59:30,1.42
2023-04-19 03:59:40,1.42
2023-04-19 03:59:50,1.42
2023-04-19 04:00:00,1.42
2023-04-19 04:00:10,1.42
2023-04-19 04:00:20,1.43
2023-04-19 04:00:30,1.43
2023-04-19 04:00:40,1.43
2023-04-19 04:00:50,1.43
2023-04-19 04:01:00,1.43
2023-04-19 04:01:10,1.43
2023-04-19 04:01:20,1.43
2023-04-19 04:01:30,1.44
2023-04-19 04:01:40,1.44
2023-04-19 04:01:50,1.44
2023-04-19 04:02:00,1.44
2023-04-19 04:02:10,1.44
2023-04-19 04:02:20,1.44
2023-04-19 04:02:30,1.44
2023-04-19 04:02:40,1.45
2023-04-19 04:02:50,1.45
2023-04-19 04:03:00,1.45
2023-04-19 04:03:10,1.45
2023-04-19 04:03:20,1.45
2023-04-19 04:03:30,1.45
2023-04-19 04:03:40,1.45
2023-04-19 04:03:50,1.46
2023-04-19 04:04:00,1.46
2023-04-19 04:04:10,1.46
2023-04-19 04:04:20,1.46
2023-04-19 04:04:30,1.46
2023-04-19 04:04:40,1.46
2023-04-19 04:04:50,1.46
2023-04-19 04:05:00,1.47
2023-04-19 04:05:10,1.47
2023-04-19 04:05:20,1.47
2023-04-19 04:05:30,1.47
2023-04-19 04:05:40,1.47
2023-04-19 04:05:50,1.47
2023-04-19 04:06:00,1.47
2023-04-19 04:06:10,1.48
2023-04-19 04:06:20,1.48
2023-04-19 04:06:30,1.48
2023-04-19 04:06:40,1.48
2023-04-19 04:06:50,1.48
2023-04-19 04:07:00,1.48
2023-04-19 04:07:10,1.48
2023-04-19 04:07:20,1.49
2023-04-19 04:07:30,1.49
2023-04-19 04:07:40,1.49
2023-04-19 04:07:50,1.49
2023-04-19 04:08:00,1.49
2023-04-19 04:08:10,1.49
2023-04-19 04:08:20,1.49
2023-04-19 04:08:30,1.50
2023-04-19 04:08:40,1.50
2023-04-19 04:08:50,1.50
2023-04-19 04:09:00,1.50
2023-04-19 04:09:10,1.50
2023-04-19 04:09:20,1.50
2023-04-19 04:09:30,1.50
2023-04-19 04:09:40,1.51
2023-04-19 04:09:50,1.51
2023-04-19 04:10:00,1.51
2023-04-19 04:10:10,1.51
2023-04-19 04:10:20,1.51
2023-04-19 04:10:30,1.51
2023-04-19 04:10:40,1.51
2023-04-19 04:10:50,1.52
2023-04-19 04:11:00,1.52
2023-04-19 04:11:10,1.52
2023-04-19 04:11:20,1.52
2023-04-19 04:11:30,1.52
2023-04-19 04:11:40,1.52
2023-04-19 04:11:50,1.52
2023-04-19 04:12:00,1.53
2023-04-19 04:12:10,1.53
2023-04-19 04:12:20,1.53
2023-04-19 04:12:30,1.53
2023-04-19 04:12:40,1.53
2023-04-19 04:12:50,1.53
2023-04-19 04:13:00,1.53
2023-04-19 04:13:10,1.54
2023-04-19 04:13:20,1.54
2023-04-19 04:13:30,1.54
2023-04-19 04:13:40,1.54
2023-04-19 04:13:50,1.54
2023-04-19 04:14:00,1.54
2023-04-19 04:14:10,1.54
2023-04-19 04:14:20,1.55
2023-04-19 04:14:30,1.55
2023-04-19 04:14:40,1.55
2023-04-19 04:14:50,1.55
2023-04-19 04:15:00,1.55
2023-04-19 04:15:10,1.55
2023-04-19 04:15:20,1.55
2023-04-19 04:15:30,1.56
2023-04-19 04:15:40,1.56
2023-04-19 04:15:50,1.56
2023-04-19 04:16:00,1.56
2023-04-19 04:16:10,1.56
2023-04-19 04:16:20,1.56
2023-04-19 04:16:30,1.56
2023-04-19 04:16:40,1.56
2023-04-19 04:16:50,1.56
2023-04-19 04:17:00,1.56
2023-04-19 04:17:10,1.56
2023-04-19 04:17:20,1.56
2023-04-19 04:17:30,1.56
2023-04-19 04:17:40,1.56
2023-04-19 04:17:50,1.56
2023-04-19 04:18:00,1.56
2023-04-19 04:18:10,1.56
2023-04-19 04:18:20,1.56
2023-04-19 04:18:30,1.56
2023-04-19 04:18:40,1.56
2023-04-19 04:18:50,1.56
2023-04-19 04:19:00,1.56
2023-04-19 04:19:10,1.56
2023-04-19 04:19:20,1.56
2023-04-19 04:19:30,1.56
2023-04-19 04:19:40,1.56
2023-04-19 04:19:50,1.56
2023-04-19 04:20:00,1.56
2023-04-19 04:20:10,1.56
2023-04-19 04:20:20,1.56
2023-04-19 04:20:30,1.56
2023-04-19 04:20:40,1.56
2023-04-19 04:20:50,1.56
2023-04-19 04:21:00,1.56
2023-04-19 04:21:10,1.56
2023-04-19 04:21:20,1.56

