"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-05-01 19:48:00,677
2023-05-01 19:48:05,554
2023-05-01 19:48:10,667
2023-05-01 19:48:15,545
2023-05-01 19:48:20,659
2023-05-01 19:48:25,775
2023-05-01 19:48:30,646
2023-05-01 19:48:35,610
2023-05-01 19:48:40,487
2023-05-01 19:48:45,605
2023-05-01 19:48:50,478
2023-05-01 19:48:55,593
2023-05-01 19:49:00,465
2023-05-01 19:49:05,585
2023-05-01 19:49:10,458
2023-05-01 19:49:15,573
2023-05-01 19:49:20,691
2023-05-01 19:49:25,564
2023-05-01 19:49:30,682
2023-05-01 19:49:35,556
2023-05-01 19:49:40,669
2023-05-01 19:49:45,545
2023-05-01 19:49:50,660
2023-05-01 19:49:55,531
2023-05-01 19:50:00,648
2023-05-01 19:50:05,763
2023-05-01 19:50:10,628
2023-05-01 19:50:15,745
2023-05-01 19:50:20,619
2023-05-01 19:50:25,735
2023-05-01 19:50:30,456
2023-05-01 19:50:35,572
2023-05-01 19:50:40,450
2023-05-01 19:50:45,568
2023-05-01 19:50:50,446
2023-05-01 19:50:55,562
2023-05-01 19:51:00,682
2023-05-01 19:51:05,560
2023-05-01 19:51:10,674
2023-05-01 19:51:15,547
2023-05-01 19:51:20,667
2023-05-01 19:51:25,545
2023-05-01 19:51:30,665
2023-05-01 19:51:35,540
2023-05-01 19:51:40,660
2023-05-01 19:51:45,534
2023-05-01 19:51:50,651
2023-05-01 19:51:55,527
2023-05-01 19:52:00,644
2023-05-01 19:52:05,765
2023-05-01 19:52:10,636
2023-05-01 19:52:15,753
2023-05-01 19:52:20,627
2023-05-01 19:52:25,591
2023-05-01 19:52:30,470
2023-05-01 19:52:35,567
2023-05-01 19:52:40,448
2023-05-01 19:52:45,566
2023-05-01 19:52:50,685
2023-05-01 19:52:55,562
2023-05-01 19:53:00,681
2023-05-01 19:53:05,555
2023-05-01 19:53:10,667
2023-05-01 19:53:15,543
2023-05-01 19:53:20,662
2023-05-01 19:53:25,536
2023-05-01 19:53:30,657
2023-05-01 19:53:35,525
2023-05-01 19:53:40,638
2023-05-01 19:53:45,756
2023-05-01 19:53:50,633
2023-05-01 19:53:55,750
2023-05-01 19:54:00,625
2023-05-01 19:54:05,740
2023-05-01 19:54:10,608
2023-05-01 19:54:15,725
2023-05-01 19:54:20,443
2023-05-01 19:54:25,562
2023-05-01 19:54:30,433
2023-05-01 19:54:35,553
2023-05-01 19:54:40,439
2023-05-01 19:54:45,558
2023-05-01 19:54:50,678
2023-05-01 19:54:55,550
2023-05-01 19:55:00,668
2023-05-01 19:55:05,542
2023-05-01 19:55:10,658
2023-05-01 19:55:15,535
2023-05-01 19:55:20,653
2023-05-01 19:55:25,522
2023-05-01 19:55:30,633
2023-05-01 19:55:35,743
2023-05-01 19:55:40,620
2023-05-01 19:55:45,738
2023-05-01 19:55:50,616
2023-05-01 19:55:55,735
2023-05-01 19:56:00,613
2023-05-01 19:56:05,731
2023-05-01 19:56:10,454
2023-05-01 19:56:15,573
2023-05-01 19:56:20,448
2023-05-01 19:56:25,570
2023-05-01 19:56:30,443
2023-05-01 19:56:35,562
2023-05-01 19:56:40,684
2023-05-01 19:56:45,558
2023-05-01 19:56:50,678
2023-05-01 19:56:55,554
2023-05-01 19:57:00,674
2023-05-01 19:57:05,550
2023-05-01 19:57:10,665
2023-05-01 19:57:15,542
2023-05-01 19:57:20,661
2023-05-01 19:57:25,537
2023-05-01 19:57:30,655
2023-05-01 19:57:35,531
2023-05-01 19:57:40,650
2023-05-01 19:57:45,767
2023-05-01 19:57:50,644
2023-05-01 19:57:55,761
2023-05-01 19:58:00,634
2023-05-01 19:58:05,597
2023-05-01 19:58:10,465
2023-05-01 19:58:15,583
2023-05-01 19:58:20,458
2023-05-01 19:58:25,579
2023-05-01 19:58:30,457
2023-05-01 19:58:35,576
2023-05-01 19:58:40,702
2023-05-01 19:58:45,577
2023-05-01 19:58:50,697
2023-05-01 19:58:55,575
2023-05-01 19:59:00,693
2023-05-01 19:59:05,570
2023-05-01 19:59:10,687
2023-05-01 19:59:15,565
2023-05-01 19:59:20,684
2023-05-01 19:59:25,560
2023-05-01 19:59:30,682
2023-05-01 19:59:35,558
2023-05-01 19:59:40,678
2023-05-01 19:59:45,559
2023-05-01 19:59:50,678
2023-05-01 19:59:55,799
2023-05-01 20:00:00,521
2023-05-01 20:00:05,640
2023-05-01 20:00:10,516
2023-05-01 20:00:15,637
2023-05-01 20:00:20,515
2023-05-01 20:00:25,636
2023-05-01 20:00:30,511
2023-05-01 20:00:35,629
2023-05-01 20:00:40,508
2023-05-01 20:00:45,627
2023-05-01 20:00:50,505
2023-05-01 20:00:55,624
2023-05-01 20:01:00,503
2023-05-01 20:01:05,625
2023-05-01 20:01:10,741
2023-05-01 20:01:15,614
2023-05-01 20:01:20,735
2023-05-01 20:01:25,612
2023-05-01 20:01:30,730
2023-05-01 20:01:35,607
2023-05-01 20:01:40,726
2023-05-01 20:01:45,601
2023-05-01 20:01:50,717
2023-05-01 20:01:55,440
2023-05-01 20:02:00,561
2023-05-01 20:02:05,437
2023-05-01 20:02:10,551
2023-05-01 20:02:15,668
2023-05-01 20:02:20,544
2023-05-01 20:02:25,664
2023-05-01 20:02:30,538
2023-05-01 20:02:35,656
2023-05-01 20:02:40,536
2023-05-01 20:02:45,654
2023-05-01 20:02:50,531
2023-05-01 20:02:55,651
2023-05-01 20:03:00,528
2023-05-01 20:03:05,647

