"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-05-01 19:06:00,871
2023-05-01 19:06:05,862
2023-05-01 19:06:10,857
2023-05-01 19:06:15,855
2023-05-01 19:06:20,880
2023-05-01 19:06:25,484
2023-05-01 19:06:30,502
2023-05-01 19:06:35,521
2023-05-01 19:06:40,530
2023-05-01 19:06:45,555
2023-05-01 19:06:50,574
2023-05-01 19:06:55,548
2023-05-01 19:07:00,562
2023-05-01 19:07:05,585
2023-05-01 19:07:10,599
2023-05-01 19:07:15,595
2023-05-01 19:07:20,628
2023-05-01 19:07:25,652
2023-05-01 19:07:30,680
2023-05-01 19:07:35,712
2023-05-01 19:07:40,726
2023-05-01 19:07:45,741
2023-05-01 19:07:50,755
2023-05-01 19:07:55,761
2023-05-01 19:08:00,746
2023-05-01 19:08:05,754
2023-05-01 19:08:10,755
2023-05-01 19:08:15,767
2023-05-01 19:08:20,772
2023-05-01 19:08:25,773
2023-05-01 19:08:30,782
2023-05-01 19:08:35,793
2023-05-01 19:08:40,798
2023-05-01 19:08:45,798
2023-05-01 19:08:50,809
2023-05-01 19:08:55,811
2023-05-01 19:09:00,818
2023-05-01 19:09:05,828
2023-05-01 19:09:10,820
2023-05-01 19:09:15,836
2023-05-01 19:09:20,856
2023-05-01 19:09:25,874
2023-05-01 19:09:30,479
2023-05-01 19:09:35,504
2023-05-01 19:09:40,531
2023-05-01 19:09:45,559
2023-05-01 19:09:50,583
2023-05-01 19:09:55,600
2023-05-01 19:10:00,609
2023-05-01 19:10:05,615
2023-05-01 19:10:10,621
2023-05-01 19:10:15,639
2023-05-01 19:10:20,643
2023-05-01 19:10:25,661
2023-05-01 19:10:30,674
2023-05-01 19:10:35,676
2023-05-01 19:10:40,684
2023-05-01 19:10:45,686
2023-05-01 19:10:50,700
2023-05-01 19:10:55,698
2023-05-01 19:11:00,709
2023-05-01 19:11:05,722
2023-05-01 19:11:10,727
2023-05-01 19:11:15,723
2023-05-01 19:11:20,724
2023-05-01 19:11:25,728
2023-05-01 19:11:30,744
2023-05-01 19:11:35,688
2023-05-01 19:11:40,691
2023-05-01 19:11:45,686
2023-05-01 19:11:50,702
2023-05-01 19:11:55,699
2023-05-01 19:12:00,707
2023-05-01 19:12:05,712
2023-05-01 19:12:10,731
2023-05-01 19:12:15,742
2023-05-01 19:12:20,755
2023-05-01 19:12:25,733
2023-05-01 19:12:30,747
2023-05-01 19:12:35,760
2023-05-01 19:12:40,763
2023-05-01 19:12:45,780
2023-05-01 19:12:50,797
2023-05-01 19:12:55,816
2023-05-01 19:13:00,834
2023-05-01 19:13:05,850
2023-05-01 19:13:10,883
2023-05-01 19:13:15,485
2023-05-01 19:13:20,487
2023-05-01 19:13:25,495
2023-05-01 19:13:30,499
2023-05-01 19:13:35,518
2023-05-01 19:13:40,533
2023-05-01 19:13:45,556
2023-05-01 19:13:50,574
2023-05-01 19:13:55,593
2023-05-01 19:14:00,613
2023-05-01 19:14:05,628
2023-05-01 19:14:10,628
2023-05-01 19:14:15,638
2023-05-01 19:14:20,648
2023-05-01 19:14:25,671
2023-05-01 19:14:30,694
2023-05-01 19:14:35,693
2023-05-01 19:14:40,709
2023-05-01 19:14:45,729
2023-05-01 19:14:50,748
2023-05-01 19:14:55,756
2023-05-01 19:15:00,755
2023-05-01 19:15:05,770
2023-05-01 19:15:10,781
2023-05-01 19:15:15,798
2023-05-01 19:15:20,814
2023-05-01 19:15:25,814
2023-05-01 19:15:30,836
2023-05-01 19:15:35,791
2023-05-01 19:15:40,774
2023-05-01 19:15:45,802
2023-05-01 19:15:50,822
2023-05-01 19:15:55,843
2023-05-01 19:16:00,869
2023-05-01 19:16:05,887
2023-05-01 19:16:10,485
2023-05-01 19:16:15,507
2023-05-01 19:16:20,526
2023-05-01 19:16:25,515
2023-05-01 19:16:30,527
2023-05-01 19:16:35,536
2023-05-01 19:16:40,552
2023-05-01 19:16:45,576
2023-05-01 19:16:50,591
2023-05-01 19:16:55,595
2023-05-01 19:17:00,621
2023-05-01 19:17:05,635
2023-05-01 19:17:10,641
2023-05-01 19:17:15,651
2023-05-01 19:17:20,654
2023-05-01 19:17:25,660
2023-05-01 19:17:30,670
2023-05-01 19:17:35,693
2023-05-01 19:17:40,718
2023-05-01 19:17:45,732
2023-05-01 19:17:50,744
2023-05-01 19:17:55,752
2023-05-01 19:18:00,760
2023-05-01 19:18:05,778
2023-05-01 19:18:10,766
2023-05-01 19:18:15,777
2023-05-01 19:18:20,801
2023-05-01 19:18:25,822
2023-05-01 19:18:30,848
2023-05-01 19:18:35,870
2023-05-01 19:18:40,890
2023-05-01 19:18:45,863
2023-05-01 19:18:50,472
2023-05-01 19:18:55,496
2023-05-01 19:19:00,518
2023-05-01 19:19:05,557
2023-05-01 19:19:10,581
2023-05-01 19:19:15,597
2023-05-01 19:19:20,626
2023-05-01 19:19:25,646
2023-05-01 19:19:30,669
2023-05-01 19:19:35,694
2023-05-01 19:19:40,707
2023-05-01 19:19:45,721
2023-05-01 19:19:50,743
2023-05-01 19:19:55,743
2023-05-01 19:20:00,756
2023-05-01 19:20:05,784
2023-05-01 19:20:10,795
2023-05-01 19:20:15,803
2023-05-01 19:20:20,809
2023-05-01 19:20:25,826
2023-05-01 19:20:30,815
2023-05-01 19:20:35,823
2023-05-01 19:20:40,839
2023-05-01 19:20:45,860
2023-05-01 19:20:50,872
2023-05-01 19:20:55,894
2023-05-01 19:21:00,508
2023-05-01 19:21:05,503
