"Time","avg(process_cpu_seconds_total)/1000"
2023-07-06 00:35:00,0.752
2023-07-06 00:35:05,0.753
2023-07-06 00:35:10,0.753
2023-07-06 00:35:15,0.754
2023-07-06 00:35:20,0.754
2023-07-06 00:35:25,0.755
2023-07-06 00:35:30,0.755
2023-07-06 00:35:35,0.756
2023-07-06 00:35:40,0.756
2023-07-06 00:35:45,0.757
2023-07-06 00:35:50,0.758
2023-07-06 00:35:55,0.758
2023-07-06 00:36:00,0.759
2023-07-06 00:36:05,0.759
2023-07-06 00:36:10,0.760
2023-07-06 00:36:15,0.760
2023-07-06 00:36:20,0.761
2023-07-06 00:36:25,0.761
2023-07-06 00:36:30,0.761
2023-07-06 00:36:35,0.762
2023-07-06 00:36:40,0.763
2023-07-06 00:36:45,0.763
2023-07-06 00:36:50,0.764
2023-07-06 00:36:55,0.764
2023-07-06 00:37:00,0.765
2023-07-06 00:37:05,0.765
2023-07-06 00:37:10,0.766
2023-07-06 00:37:15,0.766
2023-07-06 00:37:20,0.767
2023-07-06 00:37:25,0.767
2023-07-06 00:37:30,0.768
2023-07-06 00:37:35,0.768
2023-07-06 00:37:40,0.769
2023-07-06 00:37:45,0.769
2023-07-06 00:37:50,0.770
2023-07-06 00:37:55,0.770
2023-07-06 00:38:00,0.771
2023-07-06 00:38:05,0.771
2023-07-06 00:38:10,0.771
2023-07-06 00:38:15,0.772
2023-07-06 00:38:20,0.773
2023-07-06 00:38:25,0.773
2023-07-06 00:38:30,0.773
2023-07-06 00:38:35,0.774
2023-07-06 00:38:40,0.775
2023-07-06 00:38:45,0.775
2023-07-06 00:38:50,0.775
2023-07-06 00:38:55,0.776
2023-07-06 00:39:00,0.776
2023-07-06 00:39:05,0.777
2023-07-06 00:39:10,0.777
2023-07-06 00:39:15,0.778
2023-07-06 00:39:20,0.778
2023-07-06 00:39:25,0.779
2023-07-06 00:39:30,0.779
2023-07-06 00:39:35,0.780
2023-07-06 00:39:40,0.780
2023-07-06 00:39:45,0.781
2023-07-06 00:39:50,0.781
2023-07-06 00:39:55,0.782
2023-07-06 00:40:00,0.783
2023-07-06 00:40:05,0.783
2023-07-06 00:40:10,0.784
2023-07-06 00:40:15,0.784
2023-07-06 00:40:20,0.785
2023-07-06 00:40:25,0.785
2023-07-06 00:40:30,0.786
2023-07-06 00:40:35,0.786
2023-07-06 00:40:40,0.787
2023-07-06 00:40:45,0.787
2023-07-06 00:40:50,0.788
2023-07-06 00:40:55,0.788
2023-07-06 00:41:00,0.789
2023-07-06 00:41:05,0.789
2023-07-06 00:41:10,0.790
2023-07-06 00:41:15,0.790
2023-07-06 00:41:20,0.791
2023-07-06 00:41:25,0.791
2023-07-06 00:41:30,0.792
2023-07-06 00:41:35,0.792
2023-07-06 00:41:40,0.793
2023-07-06 00:41:45,0.793
2023-07-06 00:41:50,0.794
2023-07-06 00:41:55,0.795
2023-07-06 00:42:00,0.795
2023-07-06 00:42:05,0.796
2023-07-06 00:42:10,0.796
2023-07-06 00:42:15,0.797
2023-07-06 00:42:20,0.797
2023-07-06 00:42:25,0.798
2023-07-06 00:42:30,0.798
2023-07-06 00:42:35,0.799
2023-07-06 00:42:40,0.799
2023-07-06 00:42:45,0.800
2023-07-06 00:42:50,0.800
2023-07-06 00:42:55,0.801
2023-07-06 00:43:00,0.802
2023-07-06 00:43:05,0.802
2023-07-06 00:43:10,0.803
2023-07-06 00:43:15,0.803
2023-07-06 00:43:20,0.804
2023-07-06 00:43:25,0.804
2023-07-06 00:43:30,0.805
2023-07-06 00:43:35,0.805
2023-07-06 00:43:40,0.806
2023-07-06 00:43:45,0.806
2023-07-06 00:43:50,0.807
2023-07-06 00:43:55,0.807
2023-07-06 00:44:00,0.808
2023-07-06 00:44:05,0.808
2023-07-06 00:44:10,0.809
2023-07-06 00:44:15,0.810
2023-07-06 00:44:20,0.810
2023-07-06 00:44:25,0.811
2023-07-06 00:44:30,0.811
2023-07-06 00:44:35,0.812
2023-07-06 00:44:40,0.812
2023-07-06 00:44:45,0.812
2023-07-06 00:44:50,0.813
2023-07-06 00:44:55,0.813
2023-07-06 00:45:00,0.814
2023-07-06 00:45:05,0.814
2023-07-06 00:45:10,0.815
2023-07-06 00:45:15,0.815
2023-07-06 00:45:20,0.816
2023-07-06 00:45:25,0.816
2023-07-06 00:45:30,0.817
2023-07-06 00:45:35,0.817
2023-07-06 00:45:40,0.817
2023-07-06 00:45:45,0.818
2023-07-06 00:45:50,0.818
2023-07-06 00:45:55,0.819
2023-07-06 00:46:00,0.819
2023-07-06 00:46:05,0.820
2023-07-06 00:46:10,0.820
2023-07-06 00:46:15,0.821
2023-07-06 00:46:20,0.821
2023-07-06 00:46:25,0.822
2023-07-06 00:46:30,0.822
2023-07-06 00:46:35,0.823
2023-07-06 00:46:40,0.823
2023-07-06 00:46:45,0.824
2023-07-06 00:46:50,0.824
2023-07-06 00:46:55,0.825
2023-07-06 00:47:00,0.825
2023-07-06 00:47:05,0.826
2023-07-06 00:47:10,0.826
2023-07-06 00:47:15,0.827
2023-07-06 00:47:20,0.827
2023-07-06 00:47:25,0.828
2023-07-06 00:47:30,0.828
2023-07-06 00:47:35,0.829
2023-07-06 00:47:40,0.829
2023-07-06 00:47:45,0.830
2023-07-06 00:47:50,0.830
2023-07-06 00:47:55,0.831
2023-07-06 00:48:00,0.831
2023-07-06 00:48:05,0.831
2023-07-06 00:48:10,0.832
2023-07-06 00:48:15,0.832
2023-07-06 00:48:20,0.833
2023-07-06 00:48:25,0.833
2023-07-06 00:48:30,0.833
2023-07-06 00:48:35,0.834
2023-07-06 00:48:40,0.834
2023-07-06 00:48:45,0.835
2023-07-06 00:48:50,0.835
2023-07-06 00:48:55,0.836
2023-07-06 00:49:00,0.836
2023-07-06 00:49:05,0.836
2023-07-06 00:49:10,0.837
2023-07-06 00:49:15,0.837
2023-07-06 00:49:20,0.838
2023-07-06 00:49:25,0.838
2023-07-06 00:49:30,0.839
2023-07-06 00:49:35,0.839
2023-07-06 00:49:40,0.840
2023-07-06 00:49:45,0.840
2023-07-06 00:49:50,0.840
2023-07-06 00:49:55,0.841
2023-07-06 00:50:00,0.841
2023-07-06 00:50:05,0.842
2023-07-06 00:50:10,0.842
2023-07-06 00:50:15,0.843
2023-07-06 00:50:20,0.843
2023-07-06 00:50:25,0.844
2023-07-06 00:50:30,0.844
2023-07-06 00:50:35,0.845
2023-07-06 00:50:40,0.845
2023-07-06 00:50:45,0.845
2023-07-06 00:50:50,0.845
2023-07-06 00:50:55,0.845
2023-07-06 00:51:00,0.845

