"Time","avg(process_cpu_seconds_total)/1000"
2023-07-08 01:53:00,0.0223
2023-07-08 01:53:05,0.0228
2023-07-08 01:53:10,0.0233
2023-07-08 01:53:15,0.0238
2023-07-08 01:53:20,0.0246
2023-07-08 01:53:25,0.0252
2023-07-08 01:53:30,0.0257
2023-07-08 01:53:35,0.0262
2023-07-08 01:53:40,0.0267
2023-07-08 01:53:45,0.0271
2023-07-08 01:53:50,0.0276
2023-07-08 01:53:55,0.0281
2023-07-08 01:54:00,0.0286
2023-07-08 01:54:05,0.0290
2023-07-08 01:54:10,0.0295
2023-07-08 01:54:15,0.0300
2023-07-08 01:54:20,0.0305
2023-07-08 01:54:25,0.0310
2023-07-08 01:54:30,0.0315
2023-07-08 01:54:35,0.0319
2023-07-08 01:54:40,0.0323
2023-07-08 01:54:45,0.0328
2023-07-08 01:54:50,0.0332
2023-07-08 01:54:55,0.0337
2023-07-08 01:55:00,0.0341
2023-07-08 01:55:05,0.0346
2023-07-08 01:55:10,0.0351
2023-07-08 01:55:15,0.0355
2023-07-08 01:55:20,0.0359
2023-07-08 01:55:25,0.0364
2023-07-08 01:55:30,0.0368
2023-07-08 01:55:35,0.0374
2023-07-08 01:55:40,0.0378
2023-07-08 01:55:45,0.0383
2023-07-08 01:55:50,0.0387
2023-07-08 01:55:55,0.0393
2023-07-08 01:56:00,0.0398
2023-07-08 01:56:05,0.0402
2023-07-08 01:56:10,0.0406
2023-07-08 01:56:15,0.0410
2023-07-08 01:56:20,0.0413
2023-07-08 01:56:25,0.0417
2023-07-08 01:56:30,0.0422
2023-07-08 01:56:35,0.0426
2023-07-08 01:56:40,0.0430
2023-07-08 01:56:45,0.0434
2023-07-08 01:56:50,0.0439
2023-07-08 01:56:55,0.0444
2023-07-08 01:57:00,0.0448
2023-07-08 01:57:05,0.0452
2023-07-08 01:57:10,0.0455
2023-07-08 01:57:15,0.0459
2023-07-08 01:57:20,0.0463
2023-07-08 01:57:25,0.0468
2023-07-08 01:57:30,0.0472
2023-07-08 01:57:35,0.0476
2023-07-08 01:57:40,0.0480
2023-07-08 01:57:45,0.0485
2023-07-08 01:57:50,0.0490
2023-07-08 01:57:55,0.0494
