"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-07-08 02:20:00,598
2023-07-08 02:20:05,616
2023-07-08 02:20:10,630
2023-07-08 02:20:15,529
2023-07-08 02:20:20,434
2023-07-08 02:20:25,455
2023-07-08 02:20:30,475
2023-07-08 02:20:35,490
2023-07-08 02:20:40,507
2023-07-08 02:20:45,524
2023-07-08 02:20:50,545
2023-07-08 02:20:55,561
2023-07-08 02:21:00,579
2023-07-08 02:21:05,595
2023-07-08 02:21:10,609
2023-07-08 02:21:15,624
2023-07-08 02:21:20,641
2023-07-08 02:21:25,657
2023-07-08 02:21:30,678
2023-07-08 02:21:35,692
2023-07-08 02:21:40,709
2023-07-08 02:21:45,602
2023-07-08 02:21:50,621
2023-07-08 02:21:55,637
2023-07-08 02:22:00,537
2023-07-08 02:22:05,439
2023-07-08 02:22:10,457
2023-07-08 02:22:15,472
2023-07-08 02:22:20,487
2023-07-08 02:22:25,506
2023-07-08 02:22:30,527
2023-07-08 02:22:35,542
2023-07-08 02:22:40,561
2023-07-08 02:22:45,581
2023-07-08 02:22:50,553
2023-07-08 02:22:55,571
2023-07-08 02:23:00,586
2023-07-08 02:23:05,604
2023-07-08 02:23:10,620
2023-07-08 02:23:15,635
2023-07-08 02:23:20,649
2023-07-08 02:23:25,663
2023-07-08 02:23:30,685
2023-07-08 02:23:35,628
2023-07-08 02:23:40,734
2023-07-08 02:23:45,755
2023-07-08 02:23:50,395
2023-07-08 02:23:55,411
2023-07-08 02:24:00,434
2023-07-08 02:24:05,454
2023-07-08 02:24:10,471
2023-07-08 02:24:15,489
2023-07-08 02:24:20,505
2023-07-08 02:24:25,524
2023-07-08 02:24:30,544
2023-07-08 02:24:35,560
2023-07-08 02:24:40,581
2023-07-08 02:24:45,597
2023-07-08 02:24:50,614
2023-07-08 02:24:55,634
2023-07-08 02:25:00,649
2023-07-08 02:25:05,665
2023-07-08 02:25:10,683
2023-07-08 02:25:15,697
2023-07-08 02:25:20,713
2023-07-08 02:25:25,730
2023-07-08 02:25:30,573
2023-07-08 02:25:35,416
2023-07-08 02:25:40,433
2023-07-08 02:25:45,451
2023-07-08 02:25:50,473
2023-07-08 02:25:55,491
2023-07-08 02:26:00,512
2023-07-08 02:26:05,528
2023-07-08 02:26:10,542
2023-07-08 02:26:15,563
2023-07-08 02:26:20,579
2023-07-08 02:26:25,598
2023-07-08 02:26:30,619
2023-07-08 02:26:35,635
2023-07-08 02:26:40,650
2023-07-08 02:26:45,664
2023-07-08 02:26:50,685
2023-07-08 02:26:55,705
2023-07-08 02:27:00,724
2023-07-08 02:27:05,553
2023-07-08 02:27:10,569
2023-07-08 02:27:15,583
2023-07-08 02:27:20,424
2023-07-08 02:27:25,448
2023-07-08 02:27:30,469
2023-07-08 02:27:35,485
2023-07-08 02:27:40,506
2023-07-08 02:27:45,525
2023-07-08 02:27:50,543
2023-07-08 02:27:55,562
