"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-04-19 03:34:00,800
2023-04-19 03:34:05,747
2023-04-19 03:34:10,666
2023-04-19 03:34:15,776
2023-04-19 03:34:20,742
2023-04-19 03:34:25,767
2023-04-19 03:34:30,734
2023-04-19 03:34:35,754
2023-04-19 03:34:40,676
2023-04-19 03:34:45,781
2023-04-19 03:34:50,757
2023-04-19 03:34:55,701
2023-04-19 03:35:00,761
2023-04-19 03:35:05,738
2023-04-19 03:35:10,765
2023-04-19 03:35:15,725
2023-04-19 03:35:20,616
2023-04-19 03:35:25,782
2023-04-19 03:35:30,767
2023-04-19 03:35:35,693
2023-04-19 03:35:40,782
2023-04-19 03:35:45,769
2023-04-19 03:35:50,721
2023-04-19 03:35:55,797
2023-04-19 03:36:00,788
2023-04-19 03:36:05,657
2023-04-19 03:36:10,593
2023-04-19 03:36:15,715
2023-04-19 03:36:20,724
2023-04-19 03:36:25,711
2023-04-19 03:36:30,619
2023-04-19 03:36:35,669
2023-04-19 03:36:40,648
2023-04-19 03:36:45,640
2023-04-19 03:36:50,701
2023-04-19 03:36:55,784
2023-04-19 03:37:00,760
2023-04-19 03:37:05,729
2023-04-19 03:37:10,758
2023-04-19 03:37:15,726
2023-04-19 03:37:20,701
2023-04-19 03:37:25,676
2023-04-19 03:37:30,596
2023-04-19 03:37:35,777
2023-04-19 03:37:40,764
2023-04-19 03:37:45,760
2023-04-19 03:37:50,751
2023-04-19 03:37:55,699
2023-04-19 03:38:00,783
2023-04-19 03:38:05,774
2023-04-19 03:38:10,767
2023-04-19 03:38:15,762
2023-04-19 03:38:20,760
2023-04-19 03:38:25,757
2023-04-19 03:38:30,755
2023-04-19 03:38:35,721
2023-04-19 03:38:40,700
2023-04-19 03:38:45,704
2023-04-19 03:38:50,680
2023-04-19 03:38:55,710
2023-04-19 03:39:00,734
2023-04-19 03:39:05,748
2023-04-19 03:39:10,756
2023-04-19 03:39:15,764
2023-04-19 03:39:20,771
2023-04-19 03:39:25,780
2023-04-19 03:39:30,676
2023-04-19 03:39:35,675
2023-04-19 03:39:40,695
2023-04-19 03:39:45,710
2023-04-19 03:39:50,742
2023-04-19 03:39:55,704
2023-04-19 03:40:00,735
2023-04-19 03:40:05,640
2023-04-19 03:40:10,683
2023-04-19 03:40:15,734
2023-04-19 03:40:20,745
2023-04-19 03:40:25,754
2023-04-19 03:40:30,759
2023-04-19 03:40:35,674
2023-04-19 03:40:40,716
2023-04-19 03:40:45,756
2023-04-19 03:40:50,761
2023-04-19 03:40:55,773
2023-04-19 03:41:00,785
2023-04-19 03:41:05,800
2023-04-19 03:41:10,658
2023-04-19 03:41:15,745
2023-04-19 03:41:20,778
2023-04-19 03:41:25,679
2023-04-19 03:41:30,625
2023-04-19 03:41:35,731
2023-04-19 03:41:40,736
2023-04-19 03:41:45,744
2023-04-19 03:41:50,763
2023-04-19 03:41:55,696
2023-04-19 03:42:00,755
2023-04-19 03:42:05,764
2023-04-19 03:42:10,761
2023-04-19 03:42:15,766
2023-04-19 03:42:20,715
2023-04-19 03:42:25,669
2023-04-19 03:42:30,696
2023-04-19 03:42:35,761
2023-04-19 03:42:40,755
2023-04-19 03:42:45,782
2023-04-19 03:42:50,757
2023-04-19 03:42:55,799
2023-04-19 03:43:00,658
2023-04-19 03:43:05,780
2023-04-19 03:43:10,611
2023-04-19 03:43:15,746
2023-04-19 03:43:20,681
2023-04-19 03:43:25,700
2023-04-19 03:43:30,674
2023-04-19 03:43:35,755
2023-04-19 03:43:40,681
2023-04-19 03:43:45,773
2023-04-19 03:43:50,659
2023-04-19 03:43:55,784
2023-04-19 03:44:00,795
2023-04-19 03:44:05,686
2023-04-19 03:44:10,746
2023-04-19 03:44:15,755
2023-04-19 03:44:20,764
2023-04-19 03:44:25,663
2023-04-19 03:44:30,776
2023-04-19 03:44:35,785
2023-04-19 03:44:40,726
2023-04-19 03:44:45,661
2023-04-19 03:44:50,691
2023-04-19 03:44:55,673
2023-04-19 03:45:00,771
2023-04-19 03:45:05,702
2023-04-19 03:45:10,782
2023-04-19 03:45:15,802
2023-04-19 03:45:20,632
2023-04-19 03:45:25,741
2023-04-19 03:45:30,771
2023-04-19 03:45:35,760
2023-04-19 03:45:40,779
2023-04-19 03:45:45,642
2023-04-19 03:45:50,731
2023-04-19 03:45:55,766
2023-04-19 03:46:00,673
2023-04-19 03:46:05,750
2023-04-19 03:46:10,708
2023-04-19 03:46:15,772
2023-04-19 03:46:20,631
2023-04-19 03:46:25,764
2023-04-19 03:46:30,801
2023-04-19 03:46:35,673
2023-04-19 03:46:40,687
2023-04-19 03:46:45,698
2023-04-19 03:46:50,774
2023-04-19 03:46:55,682
2023-04-19 03:47:00,788
2023-04-19 03:47:05,684
2023-04-19 03:47:10,727
2023-04-19 03:47:15,631
2023-04-19 03:47:20,765
2023-04-19 03:47:25,667
2023-04-19 03:47:30,785
2023-04-19 03:47:35,703
2023-04-19 03:47:40,694
2023-04-19 03:47:45,711
2023-04-19 03:47:50,762
2023-04-19 03:47:55,684
2023-04-19 03:48:00,790
2023-04-19 03:48:05,789
2023-04-19 03:48:10,717
2023-04-19 03:48:15,723
2023-04-19 03:48:20,642
2023-04-19 03:48:25,715
2023-04-19 03:48:30,647
2023-04-19 03:48:35,726
2023-04-19 03:48:40,587
2023-04-19 03:48:45,684
2023-04-19 03:48:50,705
2023-04-19 03:48:55,645
2023-04-19 03:49:00,731
2023-04-19 03:49:05,666
2023-04-19 03:49:10,776
2023-04-19 03:49:15,685
2023-04-19 03:49:20,682
2023-04-19 03:49:25,735
2023-04-19 03:49:30,754
2023-04-19 03:49:35,743
2023-04-19 03:49:40,853
2023-04-19 03:49:45,1079
2023-04-19 03:49:50,1023
2023-04-19 03:49:55,709
2023-04-19 03:50:00,935

